data;café_nome;quantidade;dinheiro;total_vendas;tipo_dinheiro;cartão
09/03/2024;Americano with Milk;5;33,8;169;cartao;ANON-0000-0000-0042
09/03/2024;Cortado;7;28,9;202,3;cartao;ANON-0000-0000-0043
09/03/2024;Cappuccino;3;38,7;116,1;cartao;ANON-0000-0000-0043
09/03/2024;Americano with Milk;7;33,8;236,6;cartao;ANON-0000-0000-0009
09/03/2024;Hot Chocolate;1;38,7;38,7;cartao;ANON-0000-0000-0044
09/03/2024;Cappuccino;1;38,7;38,7;cartao;ANON-0000-0000-0009
09/03/2024;Hot Chocolate;6;38,7;232,2;cartao;ANON-0000-0000-0009
10/03/2024;Americano;10;30;300;dinheiro;
10/03/2024;Americano with Milk;3;35;105;dinheiro;
10/03/2024;Latte;6;40;240;dinheiro;
10/03/2024;Espresso;10;24;240;cartao;ANON-0000-0000-0045
10/03/2024;Americano with Milk;8;35;280;dinheiro;
10/03/2024;Latte;7;38,7;270,9;cartao;ANON-0000-0000-0046
10/03/2024;Cortado;10;28,9;289;cartao;ANON-0000-0000-0046
11/03/2024;Latte;9;40;360;dinheiro;
11/03/2024;Cappuccino;2;40;80;dinheiro;
11/03/2024;Cortado;6;30;180;dinheiro;
11/03/2024;Americano;8;30;240;dinheiro;
11/03/2024;Cappuccino;7;38,7;270,9;cartao;ANON-0000-0000-0035
11/03/2024;Americano;6;28,9;173,4;cartao;ANON-0000-0000-0047
11/03/2024;Latte;6;38,7;232,2;cartao;ANON-0000-0000-0047
11/03/2024;Cortado;7;28,9;202,3;cartao;ANON-0000-0000-0048
12/03/2024;Latte;5;40;200;dinheiro;
12/03/2024;Americano;2;28,9;57,8;cartao;ANON-0000-0000-0033
12/03/2024;Cortado;6;28,9;173,4;cartao;ANON-0000-0000-0033
12/03/2024;Hot Chocolate;8;38,7;309,6;cartao;ANON-0000-0000-0049
12/03/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0004
12/03/2024;Americano;2;28,9;57,8;cartao;ANON-0000-0000-0004
12/03/2024;Americano;8;28,9;231,2;cartao;ANON-0000-0000-0050
13/03/2024;Hot Chocolate;10;38,7;387;cartao;ANON-0000-0000-0048
13/03/2024;Americano;1;28,9;28,9;cartao;ANON-0000-0000-0004
13/03/2024;Americano;2;28,9;57,8;cartao;ANON-0000-0000-0051
13/03/2024;Americano;9;28,9;260,1;cartao;ANON-0000-0000-0051
13/03/2024;Espresso;4;25;100;dinheiro;
13/03/2024;Americano with Milk;6;33,8;202,8;cartao;ANON-0000-0000-0052
13/03/2024;Espresso;10;24;240;cartao;ANON-0000-0000-0053
13/03/2024;Espresso;9;24;216;cartao;ANON-0000-0000-0053
13/03/2024;Espresso;3;24;72;cartao;ANON-0000-0000-0054
14/03/2024;Latte;7;40;280;dinheiro;
14/03/2024;Latte;6;38,7;232,2;cartao;ANON-0000-0000-0055
14/03/2024;Hot Chocolate;6;38,7;232,2;cartao;ANON-0000-0000-0055
14/03/2024;Cortado;4;28,9;115,6;cartao;ANON-0000-0000-0012
14/03/2024;Americano;7;28,9;202,3;cartao;ANON-0000-0000-0012
14/03/2024;Americano with Milk;3;33,8;101,4;cartao;ANON-0000-0000-0056
14/03/2024;Espresso;9;24;216;cartao;ANON-0000-0000-0057
14/03/2024;Latte;1;38,7;38,7;cartao;ANON-0000-0000-0058
14/03/2024;Americano with Milk;6;33,8;202,8;cartao;ANON-0000-0000-0059
14/03/2024;Espresso;1;24;24;cartao;ANON-0000-0000-0050
14/03/2024;Hot Chocolate;1;38,7;38,7;cartao;ANON-0000-0000-0019
14/03/2024;Cortado;9;28,9;260,1;cartao;ANON-0000-0000-0012
15/03/2024;Latte;8;40;320;dinheiro;
15/03/2024;Hot Chocolate;9;38,7;348,3;cartao;ANON-0000-0000-0060
15/03/2024;Americano;2;28,9;57,8;cartao;ANON-0000-0000-0012
16/03/2024;Americano with Milk;4;33,8;135,2;cartao;ANON-0000-0000-0061
16/03/2024;Americano;9;28,9;260,1;cartao;ANON-0000-0000-0061
16/03/2024;Cortado;3;28,9;86,7;cartao;ANON-0000-0000-0009
16/03/2024;Cortado;2;28,9;57,8;cartao;ANON-0000-0000-0009
16/03/2024;Cortado;3;28,9;86,7;cartao;ANON-0000-0000-0012
16/03/2024;Americano with Milk;3;33,8;101,4;cartao;ANON-0000-0000-0062
17/03/2024;Latte;9;40;360;dinheiro;
17/03/2024;Cortado;3;28,9;86,7;cartao;ANON-0000-0000-0063
18/03/2024;Cortado;1;28,9;28,9;cartao;ANON-0000-0000-0064
18/03/2024;Americano;3;28,9;86,7;cartao;ANON-0000-0000-0003
18/03/2024;Americano;9;28,9;260,1;cartao;ANON-0000-0000-0003
18/03/2024;Americano;2;28,9;57,8;cartao;ANON-0000-0000-0003
19/03/2024;Cortado;10;30;300;dinheiro;
19/03/2024;Latte;5;38,7;193,5;cartao;ANON-0000-0000-0065
19/03/2024;Latte;5;38,7;193,5;cartao;ANON-0000-0000-0065
19/03/2024;Hot Chocolate;5;38,7;193,5;cartao;ANON-0000-0000-0049
19/03/2024;Americano with Milk;8;33,8;270,4;cartao;ANON-0000-0000-0066
19/03/2024;Hot Chocolate;7;40;280;dinheiro;
20/03/2024;Cortado;1;28,9;28,9;cartao;ANON-0000-0000-0012
20/03/2024;Latte;4;40;160;dinheiro;
20/03/2024;Cortado;7;28,9;202,3;cartao;ANON-0000-0000-0049
20/03/2024;Cappuccino;9;38,7;348,3;cartao;ANON-0000-0000-0067
20/03/2024;Cocoa;3;38,7;116,1;cartao;ANON-0000-0000-0050
20/03/2024;Latte;1;38,7;38,7;cartao;ANON-0000-0000-0068
21/03/2024;Cappuccino;1;40;40;dinheiro;
21/03/2024;Cortado;5;28,9;144,5;cartao;ANON-0000-0000-0012
21/03/2024;Cappuccino;6;38,7;232,2;cartao;ANON-0000-0000-0012
21/03/2024;Americano;3;30;90;dinheiro;
21/03/2024;Cortado;4;28,9;115,6;cartao;ANON-0000-0000-0012
21/03/2024;Latte;4;38,7;154,8;cartao;ANON-0000-0000-0069
22/03/2024;Americano with Milk;4;33,8;135,2;cartao;ANON-0000-0000-0070
22/03/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0071
22/03/2024;Cappuccino;10;40;400;dinheiro;
22/03/2024;Americano;8;28,9;231,2;cartao;ANON-0000-0000-0012
22/03/2024;Espresso;8;24;192;cartao;ANON-0000-0000-0012
22/03/2024;Americano;2;28,9;57,8;cartao;ANON-0000-0000-0050
23/03/2024;Latte;8;38,7;309,6;cartao;ANON-0000-0000-0072
23/03/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0073
23/03/2024;Cappuccino;3;38,7;116,1;cartao;ANON-0000-0000-0074
23/03/2024;Cocoa;9;38,7;348,3;cartao;ANON-0000-0000-0074
23/03/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0075
23/03/2024;Latte;1;38,7;38,7;cartao;ANON-0000-0000-0076
23/03/2024;Americano with Milk;8;33,8;270,4;cartao;ANON-0000-0000-0076
23/03/2024;Cortado;8;28,9;231,2;cartao;ANON-0000-0000-0009
24/03/2024;Latte;3;40;120;dinheiro;
24/03/2024;Latte;5;38,7;193,5;cartao;ANON-0000-0000-0077
25/03/2024;Latte;6;38,7;232,2;cartao;ANON-0000-0000-0009
25/03/2024;Americano with Milk;4;35;140;dinheiro;
25/03/2024;Latte;5;38,7;193,5;cartao;ANON-0000-0000-0078
25/03/2024;Latte;10;38,7;387;cartao;ANON-0000-0000-0017
25/03/2024;Americano with Milk;4;33,8;135,2;cartao;ANON-0000-0000-0024
25/03/2024;Cappuccino;9;38,7;348,3;cartao;ANON-0000-0000-0079
26/03/2024;Cocoa;1;38,7;38,7;cartao;ANON-0000-0000-0055
26/03/2024;Latte;10;38,7;387;cartao;ANON-0000-0000-0055
26/03/2024;Latte;7;38,7;270,9;cartao;ANON-0000-0000-0080
26/03/2024;Cortado;1;28,9;28,9;cartao;ANON-0000-0000-0009
26/03/2024;Americano;10;28,9;289;cartao;ANON-0000-0000-0003
26/03/2024;Cortado;3;28,9;86,7;cartao;ANON-0000-0000-0032
26/03/2024;Cortado;1;28,9;28,9;cartao;ANON-0000-0000-0059
26/03/2024;Americano;5;28,9;144,5;cartao;ANON-0000-0000-0050
26/03/2024;Latte;1;38,7;38,7;cartao;ANON-0000-0000-0081
26/03/2024;Latte;6;38,7;232,2;cartao;ANON-0000-0000-0024
26/03/2024;Hot Chocolate;8;38,7;309,6;cartao;ANON-0000-0000-0009
27/03/2024;Cortado;6;28,9;173,4;cartao;ANON-0000-0000-0003
27/03/2024;Americano with Milk;5;33,8;169;cartao;ANON-0000-0000-0003
27/03/2024;Americano with Milk;3;33,8;101,4;cartao;ANON-0000-0000-0082
27/03/2024;Hot Chocolate;1;38,7;38,7;cartao;ANON-0000-0000-0083
27/03/2024;Cappuccino;5;38,7;193,5;cartao;ANON-0000-0000-0012
27/03/2024;Americano;3;28,9;86,7;cartao;ANON-0000-0000-0012
27/03/2024;Cortado;8;28,9;231,2;cartao;ANON-0000-0000-0084
27/03/2024;Latte;8;40;320;dinheiro;
28/03/2024;Cortado;3;28,9;86,7;cartao;ANON-0000-0000-0085
28/03/2024;Cortado;2;28,9;57,8;cartao;ANON-0000-0000-0012
28/03/2024;Americano;7;28,9;202,3;cartao;ANON-0000-0000-0012
28/03/2024;Latte;2;38,7;77,4;cartao;ANON-0000-0000-0086
29/03/2024;Latte;6;38,7;232,2;cartao;ANON-0000-0000-0087
29/03/2024;Cappuccino;8;38,7;309,6;cartao;ANON-0000-0000-0088
29/03/2024;Cappuccino;2;38,7;77,4;cartao;ANON-0000-0000-0088
29/03/2024;Cappuccino;10;40;400;dinheiro;
30/03/2024;Latte;8;38,7;309,6;cartao;ANON-0000-0000-0069
30/03/2024;Cappuccino;2;40;80;dinheiro;
30/03/2024;Latte;7;38,7;270,9;cartao;ANON-0000-0000-0017
30/03/2024;Latte;9;38,7;348,3;cartao;ANON-0000-0000-0009
30/03/2024;Americano with Milk;4;33,8;135,2;cartao;ANON-0000-0000-0009
31/03/2024;Cappuccino;7;38,7;270,9;cartao;ANON-0000-0000-0089
31/03/2024;Americano;10;30;300;dinheiro;
01/04/2024;Americano;4;28,9;115,6;cartao;ANON-0000-0000-0004
01/04/2024;Americano with Milk;6;33,8;202,8;cartao;ANON-0000-0000-0004
01/04/2024;Americano with Milk;3;33,8;101,4;cartao;ANON-0000-0000-0004
01/04/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0009
01/04/2024;Cappuccino;7;40;280;dinheiro;
01/04/2024;Americano with Milk;7;33,8;236,6;cartao;ANON-0000-0000-0024
01/04/2024;Hot Chocolate;7;38,7;270,9;cartao;ANON-0000-0000-0090
02/04/2024;Latte;2;38,7;77,4;cartao;ANON-0000-0000-0001
02/04/2024;Americano;4;28,9;115,6;cartao;ANON-0000-0000-0003
02/04/2024;Cortado;10;28,9;289;cartao;ANON-0000-0000-0003
02/04/2024;Cappuccino;3;40;120;dinheiro;
03/04/2024;Cortado;1;28,9;28,9;cartao;ANON-0000-0000-0003
03/04/2024;Americano;9;28,9;260,1;cartao;ANON-0000-0000-0003
03/04/2024;Cappuccino;2;38,7;77,4;cartao;ANON-0000-0000-0012
03/04/2024;Cortado;5;30;150;dinheiro;
04/04/2024;Latte;2;38,7;77,4;cartao;ANON-0000-0000-0091
04/04/2024;Latte;3;38,7;116,1;cartao;ANON-0000-0000-0092
04/04/2024;Cappuccino;2;38,7;77,4;cartao;ANON-0000-0000-0093
04/04/2024;Cortado;9;28,9;260,1;cartao;ANON-0000-0000-0094
04/04/2024;Latte;4;40;160;dinheiro;
05/04/2024;Americano;8;28,9;231,2;cartao;ANON-0000-0000-0095
05/04/2024;Americano;1;28,9;28,9;cartao;ANON-0000-0000-0012
05/04/2024;Cortado;4;28,9;115,6;cartao;ANON-0000-0000-0096
05/04/2024;Americano with Milk;9;33,8;304,2;cartao;ANON-0000-0000-0097
05/04/2024;Latte;2;38,7;77,4;cartao;ANON-0000-0000-0098
05/04/2024;Cortado;5;28,9;144,5;cartao;ANON-0000-0000-0098
05/04/2024;Latte;2;40;80;dinheiro;
05/04/2024;Cappuccino;4;40;160;dinheiro;
05/04/2024;Americano;5;30;150;dinheiro;
05/04/2024;Cocoa;6;40;240;dinheiro;
05/04/2024;Espresso;10;24;240;cartao;ANON-0000-0000-0003
06/04/2024;Americano with Milk;3;33,8;101,4;cartao;ANON-0000-0000-0099
06/04/2024;Cappuccino;6;38,7;232,2;cartao;ANON-0000-0000-0040
06/04/2024;Americano;9;28,9;260,1;cartao;ANON-0000-0000-0040
06/04/2024;Latte;5;38,7;193,5;cartao;ANON-0000-0000-0009
07/04/2024;Latte;3;38,7;116,1;cartao;ANON-0000-0000-0091
07/04/2024;Cappuccino;8;38,7;309,6;cartao;ANON-0000-0000-0040
07/04/2024;Cappuccino;4;38,7;154,8;cartao;ANON-0000-0000-0040
07/04/2024;Cortado;5;28,9;144,5;cartao;ANON-0000-0000-0100
07/04/2024;Espresso;10;24;240;cartao;ANON-0000-0000-0100
07/04/2024;Hot Chocolate;2;38,7;77,4;cartao;ANON-0000-0000-0101
07/04/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0101
08/04/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0102
08/04/2024;Cappuccino;1;38,7;38,7;cartao;ANON-0000-0000-0103
08/04/2024;Americano;4;28,9;115,6;cartao;ANON-0000-0000-0012
08/04/2024;Cappuccino;1;38,7;38,7;cartao;ANON-0000-0000-0104
08/04/2024;Espresso;3;25;75;dinheiro;
08/04/2024;Americano with Milk;4;35;140;dinheiro;
08/04/2024;Latte;10;38,7;387;cartao;ANON-0000-0000-0017
08/04/2024;Americano;7;28,9;202,3;cartao;ANON-0000-0000-0105
08/04/2024;Americano with Milk;5;33,8;169;cartao;ANON-0000-0000-0024
08/04/2024;Cappuccino;7;38,7;270,9;cartao;ANON-0000-0000-0106
09/04/2024;Cappuccino;2;40;80;dinheiro;
09/04/2024;Americano;5;30;150;dinheiro;
09/04/2024;Latte;7;38,7;270,9;cartao;ANON-0000-0000-0091
09/04/2024;Hot Chocolate;2;38,7;77,4;cartao;ANON-0000-0000-0107
09/04/2024;Hot Chocolate;10;38,7;387;cartao;ANON-0000-0000-0049
10/04/2024;Espresso;8;25;200;dinheiro;
10/04/2024;Hot Chocolate;8;40;320;dinheiro;
10/04/2024;Espresso;7;24;168;cartao;ANON-0000-0000-0108
10/04/2024;Cappuccino;5;38,7;193,5;cartao;ANON-0000-0000-0009
10/04/2024;Latte;8;38,7;309,6;cartao;ANON-0000-0000-0109
11/04/2024;Americano;2;28,9;57,8;cartao;ANON-0000-0000-0110
11/04/2024;Americano;4;28,9;115,6;cartao;ANON-0000-0000-0110
11/04/2024;Latte;5;38,7;193,5;cartao;ANON-0000-0000-0017
11/04/2024;Cappuccino;1;38,7;38,7;cartao;ANON-0000-0000-0106
11/04/2024;Americano with Milk;1;33,8;33,8;cartao;ANON-0000-0000-0024
12/04/2024;Hot Chocolate;10;38,7;387;cartao;ANON-0000-0000-0019
12/04/2024;Cortado;3;28,9;86,7;cartao;ANON-0000-0000-0009
13/04/2024;Latte;3;38,7;116,1;cartao;ANON-0000-0000-0009
13/04/2024;Americano;4;28,9;115,6;cartao;ANON-0000-0000-0012
13/04/2024;Hot Chocolate;4;40;160;dinheiro;
13/04/2024;Hot Chocolate;4;40;160;dinheiro;
13/04/2024;Cappuccino;1;38,7;38,7;cartao;ANON-0000-0000-0111
13/04/2024;Latte;1;38,7;38,7;cartao;ANON-0000-0000-0111
13/04/2024;Cappuccino;3;38,7;116,1;cartao;ANON-0000-0000-0112
13/04/2024;Cappuccino;2;38,7;77,4;cartao;ANON-0000-0000-0012
14/04/2024;Latte;5;40;200;dinheiro;
14/04/2024;Cappuccino;7;38,7;270,9;cartao;ANON-0000-0000-0113
14/04/2024;Cortado;8;30;240;dinheiro;
14/04/2024;Cortado;2;30;60;dinheiro;
14/04/2024;Americano with Milk;10;35;350;dinheiro;
14/04/2024;Cortado;5;28,9;144,5;cartao;ANON-0000-0000-0114
14/04/2024;Americano;1;28,9;28,9;cartao;ANON-0000-0000-0012
14/04/2024;Americano;1;28,9;28,9;cartao;ANON-0000-0000-0012
14/04/2024;Americano;3;28,9;86,7;cartao;ANON-0000-0000-0012
14/04/2024;Cappuccino;1;38,7;38,7;cartao;ANON-0000-0000-0017
14/04/2024;Cortado;6;28,9;173,4;cartao;ANON-0000-0000-0012
14/04/2024;Latte;2;38,7;77,4;cartao;ANON-0000-0000-0019
14/04/2024;Cappuccino;6;38,7;232,2;cartao;ANON-0000-0000-0115
15/04/2024;Americano;7;28,9;202,3;cartao;ANON-0000-0000-0064
15/04/2024;Americano;10;28,9;289;cartao;ANON-0000-0000-0003
15/04/2024;Americano with Milk;6;33,8;202,8;cartao;ANON-0000-0000-0004
15/04/2024;Americano with Milk;6;33,8;202,8;cartao;ANON-0000-0000-0009
15/04/2024;Espresso;6;25;150;dinheiro;
16/04/2024;Americano with Milk;4;35;140;dinheiro;
16/04/2024;Americano with Milk;8;33,8;270,4;cartao;ANON-0000-0000-0116
16/04/2024;Cocoa;8;38,7;309,6;cartao;ANON-0000-0000-0117
16/04/2024;Cortado;2;28,9;57,8;cartao;ANON-0000-0000-0064
16/04/2024;Americano;9;28,9;260,1;cartao;ANON-0000-0000-0118
16/04/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0024
16/04/2024;Cappuccino;10;38,7;387;cartao;ANON-0000-0000-0009
16/04/2024;Cocoa;9;38,7;348,3;cartao;ANON-0000-0000-0050
17/04/2024;Americano;8;28,9;231,2;cartao;ANON-0000-0000-0012
17/04/2024;Espresso;4;24;96;cartao;ANON-0000-0000-0119
17/04/2024;Cappuccino;8;40;320;dinheiro;
17/04/2024;Cappuccino;2;38,7;77,4;cartao;ANON-0000-0000-0120
17/04/2024;Cappuccino;5;38,7;193,5;cartao;ANON-0000-0000-0120
17/04/2024;Cortado;5;28,9;144,5;cartao;ANON-0000-0000-0121
18/04/2024;Americano;3;28,9;86,7;cartao;ANON-0000-0000-0003
18/04/2024;Americano;10;28,9;289;cartao;ANON-0000-0000-0003
18/04/2024;Americano with Milk;8;33,8;270,4;cartao;ANON-0000-0000-0122
18/04/2024;Cortado;7;28,9;202,3;cartao;ANON-0000-0000-0122
18/04/2024;Cappuccino;7;38,7;270,9;cartao;ANON-0000-0000-0123
18/04/2024;Latte;1;38,7;38,7;cartao;ANON-0000-0000-0123
18/04/2024;Latte;5;38,7;193,5;cartao;ANON-0000-0000-0069
18/04/2024;Cappuccino;4;38,7;154,8;cartao;ANON-0000-0000-0085
18/04/2024;Hot Chocolate;3;38,7;116,1;cartao;ANON-0000-0000-0024
18/04/2024;Hot Chocolate;5;38,7;193,5;cartao;ANON-0000-0000-0009
19/04/2024;Latte;4;38,7;154,8;cartao;ANON-0000-0000-0001
19/04/2024;Americano with Milk;8;33,8;270,4;cartao;ANON-0000-0000-0040
19/04/2024;Cappuccino;3;38,7;116,1;cartao;ANON-0000-0000-0040
19/04/2024;Hot Chocolate;3;38,7;116,1;cartao;ANON-0000-0000-0124
19/04/2024;Cappuccino;5;38,7;193,5;cartao;ANON-0000-0000-0124
19/04/2024;Cocoa;7;38,7;270,9;cartao;ANON-0000-0000-0024
19/04/2024;Americano with Milk;2;33,8;67,6;cartao;ANON-0000-0000-0009
20/04/2024;Americano with Milk;6;35;210;dinheiro;
20/04/2024;Americano with Milk;6;33,8;202,8;cartao;ANON-0000-0000-0125
20/04/2024;Americano with Milk;2;33,8;67,6;cartao;ANON-0000-0000-0125
20/04/2024;Americano;7;28,9;202,3;cartao;ANON-0000-0000-0118
20/04/2024;Americano with Milk;9;33,8;304,2;cartao;ANON-0000-0000-0118
20/04/2024;Hot Chocolate;10;38,7;387;cartao;ANON-0000-0000-0118
20/04/2024;Cappuccino;5;38,7;193,5;cartao;ANON-0000-0000-0040
20/04/2024;Americano with Milk;3;33,8;101,4;cartao;ANON-0000-0000-0009
20/04/2024;Americano with Milk;10;32,82;328,2;cartao;ANON-0000-0000-0012
20/04/2024;Americano with Milk;3;32,82;98,46;cartao;ANON-0000-0000-0126
20/04/2024;Cocoa;4;39;156;dinheiro;
20/04/2024;Cappuccino;10;37,72;377,2;cartao;ANON-0000-0000-0127
20/04/2024;Cappuccino;5;37,72;188,6;cartao;ANON-0000-0000-0127
20/04/2024;Latte;9;37,72;339,48;cartao;ANON-0000-0000-0128
21/04/2024;Latte;5;37,72;188,6;cartao;ANON-0000-0000-0001
21/04/2024;Americano;2;27,92;55,84;cartao;ANON-0000-0000-0099
21/04/2024;Cappuccino;7;39;273;dinheiro;
22/04/2024;Americano;9;27,92;251,28;cartao;ANON-0000-0000-0012
22/04/2024;Americano with Milk;10;32,82;328,2;cartao;ANON-0000-0000-0129
22/04/2024;Latte;1;39;39;dinheiro;
22/04/2024;Latte;5;37,72;188,6;cartao;ANON-0000-0000-0009
22/04/2024;Cappuccino;5;39;195;dinheiro;
23/04/2024;Cappuccino;4;37,72;150,88;cartao;ANON-0000-0000-0025
23/04/2024;Americano with Milk;7;32,82;229,74;cartao;ANON-0000-0000-0024
23/04/2024;Cappuccino;3;37,72;113,16;cartao;ANON-0000-0000-0009
23/04/2024;Americano with Milk;4;32,82;131,28;cartao;ANON-0000-0000-0130
23/04/2024;Americano with Milk;8;32,82;262,56;cartao;ANON-0000-0000-0130
24/04/2024;Latte;4;37,72;150,88;cartao;ANON-0000-0000-0001
24/04/2024;Americano with Milk;5;32,82;164,1;cartao;ANON-0000-0000-0131
24/04/2024;Americano with Milk;9;32,82;295,38;cartao;ANON-0000-0000-0132
24/04/2024;Americano with Milk;9;32,82;295,38;cartao;ANON-0000-0000-0133
24/04/2024;Americano with Milk;5;32,82;164,1;cartao;ANON-0000-0000-0059
24/04/2024;Americano with Milk;2;32,82;65,64;cartao;ANON-0000-0000-0009
24/04/2024;Americano with Milk;5;32,82;164,1;cartao;ANON-0000-0000-0134
24/04/2024;Cappuccino;2;37,72;75,44;cartao;ANON-0000-0000-0134
25/04/2024;Americano;4;27,92;111,68;cartao;ANON-0000-0000-0135
25/04/2024;Latte;2;37,72;75,44;cartao;ANON-0000-0000-0009
25/04/2024;Americano;9;27,92;251,28;cartao;ANON-0000-0000-0012
25/04/2024;Americano;6;27,92;167,52;cartao;ANON-0000-0000-0012
26/04/2024;Latte;3;37,72;113,16;cartao;ANON-0000-0000-0001
